,algorithm,min support,running time
0,Apriori,0.001,95.02740120887756
1,Apriori,0.006210526315789474,9.264898777008057
2,Apriori,0.011421052631578946,4.140692472457886
3,Apriori,0.01663157894736842,3.1596555709838867
4,Apriori,0.021842105263157895,2.353635311126709
5,Apriori,0.02705263157894737,1.787653923034668
6,Apriori,0.03226315789473684,1.3921091556549072
7,Apriori,0.03747368421052632,1.090177059173584
8,Apriori,0.04268421052631579,0.9177050590515137
9,Apriori,0.04789473684210526,0.8884577751159668
10,Apriori,0.05310526315789474,0.8328266143798828
11,Apriori,0.05831578947368421,0.6441261768341064
12,Apriori,0.06352631578947368,0.5609071254730225
13,Apriori,0.06873684210526315,0.5433204174041748
14,Apriori,0.07394736842105264,0.5008223056793213
15,Apriori,0.07915789473684211,0.4731886386871338
16,Apriori,0.08436842105263158,0.43788576126098633
17,Apriori,0.08957894736842105,0.4289560317993164
18,Apriori,0.09478947368421052,0.40981125831604004
19,Apriori,0.1,0.4023399353027344
0,FP-growth,0.001,1.8337690830230713
1,FP-growth,0.006210526315789474,0.8203713893890381
2,FP-growth,0.011421052631578946,0.6563136577606201
3,FP-growth,0.01663157894736842,0.6035983562469482
4,FP-growth,0.021842105263157895,0.550865888595581
5,FP-growth,0.02705263157894737,0.5058751106262207
6,FP-growth,0.03226315789473684,0.371492862701416
7,FP-growth,0.03747368421052632,0.31019067764282227
8,FP-growth,0.04268421052631579,0.3388330936431885
9,FP-growth,0.04789473684210526,0.2558135986328125
10,FP-growth,0.05310526315789474,0.283252477645874
11,FP-growth,0.05831578947368421,0.1662731170654297
12,FP-growth,0.06352631578947368,0.12726426124572754
13,FP-growth,0.06873684210526315,0.1175990104675293
14,FP-growth,0.07394736842105264,0.09460926055908203
15,FP-growth,0.07915789473684211,0.14431071281433105
16,FP-growth,0.08436842105263158,0.0681002140045166
17,FP-growth,0.08957894736842105,0.06272721290588379
18,FP-growth,0.09478947368421052,0.06092190742492676
19,FP-growth,0.1,0.05683135986328125
