,items
0,"{'ls', 'cd', '<1>', 'source'}"
1,"{'emacs', '<1>', 'netscape', '&', 'quota', 'source'}"
2,{'emacs'}
3,"{'netscape', '&'}"
4,"{'emacs', 'netscape', 'quota', '&'}"
5,"{'<1>', 'finger', 'netscape', '&', 'more', 'rm'}"
6,"{'&', '<1>', 'netscape', 'rlogin'}"
7,"{'emacs', '<2>', 'logout', 'quota', 'setenv'}"
8,"{'netscape', '&'}"
9,{'logout'}
10,"{'<1>', 'logout', 'ls', 'quota', 'rm'}"
11,{'logout'}
12,"{'cd', '<1>', '-l', 'netscape', '&', 'ls', 'quota', 'rm'}"
13,"{'more', '<1>'}"
14,"{'emacs', 'cd', '<1>', 'lpp', 'netscape', 'xdvi', 'latex', '&', 'quota', 'dvips'}"
15,{'.logout'}
16,"{'<2>', 'z', 'chmod', 'exit', '.logout'}"
17,"{'<1>', 'rlogin'}"
18,"{'cd', '<1>', '<', 'gs', 'xdvi', 'dvips', 'mail'}"
19,"{'emacs', 'quota'}"
20,"{'cd', '<1>', 'lattex', 'bibtex', '<2>', 'logout', 'volcheck', 'sdvi', 'eject', 'latex', 'xdvi', 'more', 'ls', 'lsf', 'cp', 'cpfrf'}"
21,"{'emacs', 'netscape', '&', 'quota', '.logout'}"
22,"{'<1>', 'finger'}"
23,"{'cd', '<1>', 'xcc', 'alias', '<2>', '-lX11', 'man', 'cc', 'netscape', 'zcc', '-lm', '&', '-lX', 'quota', '<GENSYM:1>/include', '-lX11R6', '<GENSYM:0>/include', 'source'}"
24,"{'cd', '<1>', '<2>', '-d', 'lp'}"
25,"{'emacs', 'cd', '<1>', 'xcc', 'dem', '<2>', '-g', 'quota'}"
26,"{'-LX.so', '<GENSYM:5>/X11', 'help', '<GENSYM:6>/lib', 'cp', '<GENSYM:0>/include', 'cd', 'xcc', '-lX11', 'man', 'q', '-lm', 'a.out', '<GENSYM:1>/include', '<GENSYM:4>/libX11.so', 'source', '<1>', 'alias', '<GENSYM:2>/X11.so', '<2>', '-l', '-lX11.so', 'more', '-g', 'dbx', '-LX11.so', 'cc', '<GENSYM:2>/libX11.so', 'ls', '<GENSYM:3>/libX11.so', 'rm'}"
27,"{'emacs', 'quota'}"
28,"{'laserquota', '<1>', '<GENSYM:7>/lwinfo'}"
29,"{'cd', '<1>', 'logout', 'volcheck', 'eject', 'ff', 'cptof', 'mail'}"
30,"{'emacs', '|', '<1>', 'xcc', 'alias', '<2>', 'cd', 'man', 'cc', '-k', 'ls', '-g', '>', 'quota', '-E', 'cb', 'rm'}"
31,"{'eject', '>', 'grep', 'cd', 'xcc', 'a.out', 'cpfrf', '<1>', '<2>', 'volcheck', '-v', 'more', '-g', '-E', 'dbx', 'mv', '|', 'dem', 'cc', 'ls', 'cb', 'rm'}"
32,"{'cd', '<1>', 'xcc', '<2>', 'run', 'volcheck', 'p', 'more', 'ls', '-g', 'a.out', 'lsf', 'cpfrf'}"
33,"{'cd', '<1>', 'more'}"
34,"{'emacs', 'cd', '<1>'}"
35,"{'emacs', 'cd', '<1>', 'xcc', '<2>', 'eject', 'a.out', 'quota'}"
36,"{'emacs', 'cd', '<1>', 'netscape', 'rlogin', '&', 'ls', 'a.out'}"
37,"{'cd', '<1>', '<2>', 'more', 'cp'}"
38,"{'emacs', 'cd', '<1>', 'logout', 'volcheck', 'eject', 'ls', 'ff', 'cptof', 'lsf'}"
39,"{'cd', '<1>', 'diff', '<2>', 'volcheck', 'eject', 'ls', 'ff', 'cptof', 'uncompress', 'rm'}"
40,"{'emacs', 'cd', '<1>', 'netscape', '&', 'compress', 'ls', '<3>', 'quota', 'rm'}"
41,"{'<1>', 'uncompress'}"
42,"{'emacs', 'quota'}"
43,"{'emacs', '<1>', 'finger', 'quota'}"
44,"{'emacs', 'quota'}"
45,"{'<1>', 'finger'}"
46,"{'cd', '<1>', '<2>', '-d', 'lp'}"
47,"{'cd', '<1>', 'logout', 'more', 'ls'}"
48,"{'emacs', 'quota'}"
49,"{'cd', '<1>', 'latex'}"
50,"{'mkdir', '<1>', 'more', 'ls', 'rm'}"
51,"{'a.uot', 'cd', 'xcc', 'man', 'xvr', 'netscape', '&', 'a.out', 'quota', 'imagemagic', 'emacs', '<1>', '<2>', 'aimgemagik', 'more', 'xv', 'mv', 'imagemagik', '-k', 'ls', 'fd', 'rm'}"
52,"{'emacs', 'cd', '<1>', '<2>', 'emcas', 'display', '<GENSYM:7>/magck', 'more', 'magick', '<GENSYM:8>/display', 'quota', 'xv', 'which', 'cp'}"
53,"{'<GENSYM:9>/cat', 'cd', '<1>', 'display', 'more', 'ls', '<GENSYM:8>/display', 'xv', 'cat', '<GENSYM:10>/display', 'rm', 'source'}"
54,"{'cd', '<1>', 'logout', 'eject', 'rlogin', 'a.out'}"
55,"{'<1>', 'logout', 'rlogin'}"
56,"{'emacs', 'cd', '<1>', 'bibtex', 'gs', '<', 'logout', 'finger', 'ghostscript', 'latex', 'ghostview', 'dvips', 'mail'}"
57,"{'mv', 'cd', '<1>', 'diff', '<2>', '-l', 'volcheck', 'ls', 'cpfrf'}"
58,"{'eject', 'logout'}"
59,{'emacs'}
60,"{'emacs', 'cd', '<1>', 'emcas', 'netscape', '&', 'a.out', 'quota'}"
61,"{'emacs', 'cd', '<1>', 'more', 'quota', 'xv'}"
62,{'logout'}
63,"{'cd', '<1>', 'xvr', 'more', 'which'}"
64,"{'finger', 'xvv', 'cp', 'cd', 'bg', 'xcc', 'netscape', 'im', '&', 'compress', 'a.out', 'quota', 'rmdir', 'emacs', '<1>', '<2>', 'mv', 'z', 'ls', 'rm'}"
65,"{'cd', '<1>'}"
66,"{'mv', 'cd', '<1>', '<2>', 'man', 'more', 'ls', 'cp'}"
67,"{'cd', '<1>', 'more', 'logout'}"
68,"{'emacs', 'cd', '<1>', 'more', 'quota', 'rm'}"
69,"{'cd', '<1>', 'lpstat', 'netscape', '&', 'ls', 'lpstatus', '-o'}"
70,"{'<1>', 'finger'}"
71,"{'<1>', 'rlogin'}"
72,{'quota'}
73,"{'emacs', 'setenv', 'ls', '<2>'}"
74,"{'emacs', 'netscape', 'quota', '&'}"
75,"{'emacs', 'cd', '<1>', 'xcc', 'bg', '<2>', 'im', 'more', 'a.out', 'quota'}"
76,"{'cd', '<1>', 'a.out'}"
77,"{'emacs', 'cd', '<1>', 'emcas', 'netscape', 'im', '&', 'more', 'ls', 'a.out', 'quota'}"
78,"{'<2>', '-l', 'rlogin'}"
79,"{'mv', 'cd', '<1>', '<', '<2>', 'xdvi', 'rlogin', 'uncompress', 'mail'}"
80,"{'cd', '<1>', 'bibtex', '<2>', 'logout', 'volcheck', 'latex', 'xdvi', 'dvips', 'cpfrf'}"
81,"{'cd', '<1>', 'im', '&', 'a.out', 'quota'}"
82,"{'<1>', 'netscape', '&', 'rlogin', '<GENSYM:11>/motd', 'motd'}"
83,"{'cd', '<1>', 'im', '&', 'a.out'}"
84,"{'eject', 'logout'}"
85,"{'emacs', 'netscape', 'quota', '&'}"
86,"{'who', '<2>', '-l', 'rlogin'}"
87,"{'emacs', 'quota'}"
88,"{'emacs', 'emcas', 'quota'}"
89,"{'cd', '<1>', 'netscape', '&', 'a.out'}"
90,"{'netscape', '&'}"
91,"{'emacs', 'quota'}"
92,"{'finger', '<1>', 'netscape', '&'}"
93,"{'emacs', '<2>', 'logout', 'ls', 'fg', 'quota', 'setenv'}"
94,"{'emacs', '|', '<1>', '<2>', 'logout', 'more', 'ls', 'uncompree', 'uncompress', 'cp', 'rm'}"
95,"{'emacs', 'quota'}"
96,"{'emacs', 'cd', '<1>', '|', 'logout', 'mre', 'man', 'finger', 'cache', 'compress', 'more', 'ls', '<3>', '-r', 'quota', 'quato', 'rm', 'rmdir'}"
97,"{'emacs', 'mkdir', '<1>', 'ls', 'uncompress', 'quota'}"
98,"{'cd', '<1>', 'xcc', '<2>', 'netscape', '&', 'more', 'a.out'}"
99,"{'emacs', 'more', '<1>', 'finger'}"
100,"{'netscape', '&'}"
101,"{'cd', '<1>', 'netscape', '&', 'more'}"
102,"{'emacs', 'quota'}"
103,"{'cd', '<1>', '<2>', 'im', '&', 'ls', 'a.out', 'cls', 'cp'}"
104,{'emacs'}
105,{'logout'}
106,"{'mail', '<1>', '<'}"
107,"{'cd', '<1>', '|', '-l', 'logout', 'volcheck', 'eject', 'more', 'ls', 'cptof'}"
108,"{'cd', '<1>', 'xcc', '-l', '<2>', 'rlogin', 'ls'}"
109,"{'cd', '<1>', 'diff', '<2>', 'logout', 'volcheck', 'eject', 'ls', 'cpfrf'}"
110,"{'cd', '<1>', 'xcc', '<2>', 'rlogin', 'a.out', 'rm'}"
111,"{'cd', '<1>', 'logout', 'volcheck', 'eject', 'ls', 'cptof'}"
112,"{'emacs', '<1>', 'ls', 'quota', 'rm'}"
113,"{'mv', 'cd', '<1>', '-l', '<2>', 'volcheck', 'netscape', '<4>', '&', 'ls', 'cptof', 'rm', 'cpfrf'}"
114,"{'cd', '<1>', 'xcc', '<2>', 'eject', 'xdvi', 'a.out'}"
115,"{'emacs', 'quota'}"
116,"{'cd', '<1>', 'xcc', '<2>', 'a.out'}"
117,"{'cd', '<1>', 'xcc', 'alias', '<2>', '-l', 'volcheck', 'eject', 'ls', 'a.out', 'cptof', 'lsf', 'cp'}"
118,"{'emacs', 'cd', '<1>', 'quota', 'rm'}"
119,"{'ls', 'quota'}"
120,"{'netscape', '&'}"
121,"{'emacs', 'cd', '<1>', '-l', 'finger', 'netscape', 'rlogin', '&', 'ls'}"
122,"{'mv', 'cd', '<1>', 'alias', '-l', '<2>', 'logout', 'volcheck', 'more', 'ls', '<3>', 'cptof', 'quota', 'lsf', 'cpfrf', ':1*'}"
123,"{'-LRl', 'cd', 'xcc', ':1', 'man', 'lafs', '-LFl', '-n', 'source', '<1>', 'alias', '-l', '<2>', '-la', ""'ls -l '"", '-Ll', 'more', 'lsfr', '-LlR', 'ls', '<3>', 'lsf'}"
124,"{'eject', '>', 'cp', 'grep', 'cd', 'xcc', 'man', 'a.out', '<1>', 'alias', '<2>', 'volcheck', 'more', '-g', 'cptof', 'dbx', '<GENSYM:12>/X11R6', 'dem', 'tm', 'cc', 'ls', 'ff', 'lsf', 'rm'}"
125,"{'emacs', 'netscape', 'quota', '&'}"
126,"{'cd', '<1>', 'xcc', '<2>', 'volcheck', 'eject', 'ls', 'a.out', 'cptof', 'rm'}"
127,"{'cd', '<1>', '<2>', 'cp', 'rm'}"
128,"{'emacs', 'netscape', 'quota', '&'}"
129,"{'mv', 'cd', '<1>', 'xcc', '1A', '<2>', 'ls', 'a.out', 'cp', 'rm'}"
130,"{'cd', '<1>'}"
131,"{'cp', 'grep', 'cb', 'cd', 'xcc', 'quota', 'cpfrf', '<1>', 'alias', '<2>', 'volcheck', '-v', 'more', 'cptof', '-E', 'mv', '|', 'dem', 'cc', 'ls', 'lsf', 'rm'}"
132,"{'emacs', 'cd', '<1>', 'xcc', 'dem', '<2>', 'cc', 'more', 'ls', '>', '-E', 'quota', 'rm'}"
133,"{'eject', '<10>', '>', 'cp', '246', '<8>', 'h', 'cd', '""tt2.c""', 'xcc', 'cc:', '<12>', '<4>', 'arg', '<7>', 'Bad', '<1>', '<2>', 'volcheck', '<GENSYM:14>/seg', 'cptof', 'mv', '-rwxrwxrwx', 'ls', 'lsf'}"
134,"{'emacs', 'cd', '<1>', 'xcc', '|', '<2>', 'dem', 'diff', 'less', 'more', 'ls', '>', 'cat', 'rm'}"
135,"{'eject', 'uncompress', 'cd', 'xcc', 'im', '&', 'a.out', 'quota', 'cpfrf', '<1>', '<2>', 'volcheck', '-g', 'cptof', 'dbx', 'mv', 'dem', 'ls', 'ff', 'lsf', 'rm'}"
136,"{'cd', '<1>', 'im', '&'}"
137,"{'mv', 'cd', '<1>', 'xcc', 'diff', '<2>', 'volcheck', 'more', 'ls', 'cptof', 'a.out', 'lsf', 'cp', 'rm'}"
138,{'eject'}
139,"{'emacs', 'cd', '<1>', '<2>', 'quota', 'matlab', '-d', 'lp'}"
140,"{'cd', '<1>', 'lpstat', '<2>', 'logout', 'lwinfo', 'lpp', 'ls', '-d', '-o', 'lp'}"
141,"{'cd', '<1>', 'xcc', '<2>', 'ls', '<3>', 'a.out', 'matlab', '-d', 'rm', 'lp'}"
142,"{'load', 'cd', '<1>', 'matlab'}"
143,"{'emacs', 'cd', '<1>', 'quota', 'uncompress'}"
144,"{'mv', 'cd', '<1>', 'mkdir', '<2>', '-l', 'ls', 'a.out', 'quota', 'rm'}"
145,"{'emacs', 'mv', '<1>', 'cd', '<2>', '-l', 'eject', 'ls', 'cptof', 'quota', 'uncompress', 'rm'}"
146,"{'<1>', 'rlogin'}"
147,"{'cd', '<1>', 'logout', 'volcheck', 'eject', 'ls', 'cptof', 'lsf'}"
148,"{'emacs', 'quota'}"
149,"{'ph', '<', 'finger', 'cd', 'xcc', 'quota', 'mail', '<1>', 'mkdir', '<2>', 'rlogin', 'dvips', 'lp', 'dem', 'latex', 'xdvi', 'ls', '-d', 'rm', 'lname'}"
