,algorithm,min support,freq_set nums,running time
0,Apriori,0.001,13492,95.41724181175232
1,Apriori,0.006210526315789474,701,9.183577537536621
2,Apriori,0.011421052631578946,264,4.156162261962891
3,Apriori,0.01663157894736842,163,3.165658950805664
4,Apriori,0.021842105263157895,107,2.291602373123169
5,Apriori,0.02705263157894737,78,1.7965648174285889
6,Apriori,0.03226315789473684,57,1.3799912929534912
7,Apriori,0.03747368421052632,45,1.1012139320373535
8,Apriori,0.04268421052631579,37,0.9217097759246826
9,Apriori,0.04789473684210526,34,0.901472806930542
10,Apriori,0.05310526315789474,29,0.7514324188232422
11,Apriori,0.05831578947368421,23,0.6477096080780029
12,Apriori,0.06352631578947368,20,0.5715374946594238
13,Apriori,0.06873684210526315,19,0.5570180416107178
14,Apriori,0.07394736842105264,17,0.5133836269378662
15,Apriori,0.07915789473684211,14,0.46927547454833984
16,Apriori,0.08436842105263158,11,0.4359779357910156
17,Apriori,0.08957894736842105,10,0.4218909740447998
18,Apriori,0.09478947368421052,9,0.41382503509521484
19,Apriori,0.1,8,0.40166211128234863
0,FP-growth,0.001,13459,1.9001250267028809
1,FP-growth,0.006210526315789474,701,0.8344213962554932
2,FP-growth,0.011421052631578946,264,0.6695733070373535
3,FP-growth,0.01663157894736842,163,0.6250298023223877
4,FP-growth,0.021842105263157895,107,0.5777459144592285
5,FP-growth,0.02705263157894737,78,0.522578239440918
6,FP-growth,0.03226315789473684,57,0.3900744915008545
7,FP-growth,0.03747368421052632,45,0.3244946002960205
8,FP-growth,0.04268421052631579,37,0.36107802391052246
9,FP-growth,0.04789473684210526,34,0.2737555503845215
10,FP-growth,0.05310526315789474,29,0.30032849311828613
11,FP-growth,0.05831578947368421,23,0.1701042652130127
12,FP-growth,0.06352631578947368,20,0.1340336799621582
13,FP-growth,0.06873684210526315,19,0.12275242805480957
14,FP-growth,0.07394736842105264,17,0.0991966724395752
15,FP-growth,0.07915789473684211,14,0.14484715461730957
16,FP-growth,0.08436842105263158,11,0.06987547874450684
17,FP-growth,0.08957894736842105,10,0.06392168998718262
18,FP-growth,0.09478947368421052,9,0.05736136436462402
19,FP-growth,0.1,8,0.05628538131713867
