Find 163 frequent item sets !!!
Including 69 1-item frequent set
soft cheese, support: 168
pot plants, support: 170
flour, support: 171
dishes, support: 173
semi-finished bread, support: 174
baking powder, support: 174
pickled vegetables, support: 176
white wine, support: 187
detergent, support: 189
red/blush wine, support: 189
chewing gum, support: 207
grapes, support: 220
cat food, support: 229
hard cheese, support: 241
sliced cheese, support: 241
ice cream, support: 246
meat, support: 254
beverages, support: 256
ham, support: 256
specialty bar, support: 269
butter milk, support: 275
oil, support: 276
misc. beverages, support: 279
frozen meals, support: 279
candy, support: 294
specialty chocolate, support: 299
onions, support: 305
hygiene articles, support: 324
hamburger meat, support: 327
berries, support: 327
UHT-milk, support: 329
sugar, support: 333
dessert, support: 365
long life bakery product, support: 368
salty snack, support: 372
waffles, support: 378
cream cheese , support: 390
white bread, support: 414
chicken, support: 422
frozen vegetables, support: 473
chocolate, support: 488
napkins, support: 515
beef, support: 516
curd, support: 524
butter, support: 545
pork, support: 567
coffee, support: 571
margarine, support: 576
frankfurter, support: 580
domestic eggs, support: 624
brown bread, support: 638
whipped/sour cream, support: 705
fruit/vegetable juice, support: 711
pip fruit, support: 744
canned beer, support: 764
newspapers, support: 785
bottled beer, support: 792
citrus fruit, support: 814
pastry, support: 875
sausage, support: 924
shopping bags, support: 969
tropical fruit, support: 1032
root vegetables, support: 1072
bottled water, support: 1087
yogurt, support: 1372
soda, support: 1715
rolls/buns, support: 1809
other vegetables, support: 1903
whole milk, support: 2513

Including 90 2-item frequent set
white bread, whole milk, support: 168
whole milk, chicken, support: 173
other vegetables, chicken, support: 176
other vegetables, frozen vegetables, support: 175
whole milk, frozen vegetables, support: 201
whole milk, chocolate, support: 164
whole milk, napkins, support: 194
root vegetables, beef, support: 171
other vegetables, beef, support: 194
whole milk, beef, support: 209
other vegetables, curd, support: 169
yogurt, curd, support: 170
whole milk, curd, support: 257
butter, other vegetables, support: 197
butter, whole milk, support: 271
other vegetables, pork, support: 213
pork, whole milk, support: 218
coffee, whole milk, support: 184
margarine, other vegetables, support: 194
margarine, whole milk, support: 238
frankfurter, rolls/buns, support: 189
frankfurter, whole milk, support: 202
other vegetables, domestic eggs, support: 219
whole milk, domestic eggs, support: 295
other vegetables, brown bread, support: 184
whole milk, brown bread, support: 248
whipped/sour cream, root vegetables, support: 168
whipped/sour cream, yogurt, support: 204
whipped/sour cream, other vegetables, support: 284
whipped/sour cream, whole milk, support: 317
soda, fruit/vegetable juice, support: 181
fruit/vegetable juice, yogurt, support: 184
other vegetables, fruit/vegetable juice, support: 207
whole milk, fruit/vegetable juice, support: 262
pip fruit, yogurt, support: 177
pip fruit, tropical fruit, support: 201
other vegetables, pip fruit, support: 257
whole milk, pip fruit, support: 296
newspapers, other vegetables, support: 190
newspapers, rolls/buns, support: 194
newspapers, whole milk, support: 269
soda, bottled beer, support: 167
whole milk, bottled beer, support: 201
citrus fruit, rolls/buns, support: 165
citrus fruit, root vegetables, support: 174
citrus fruit, tropical fruit, support: 196
citrus fruit, yogurt, support: 213
citrus fruit, other vegetables, support: 284
citrus fruit, whole milk, support: 300
pastry, yogurt, support: 174
pastry, rolls/buns, support: 206
soda, pastry, support: 207
other vegetables, pastry, support: 222
whole milk, pastry, support: 327
sausage, yogurt, support: 193
soda, sausage, support: 239
other vegetables, sausage, support: 265
sausage, whole milk, support: 294
sausage, rolls/buns, support: 301
shopping bags, rolls/buns, support: 192
other vegetables, shopping bags, support: 228
whole milk, shopping bags, support: 241
soda, shopping bags, support: 242
bottled water, tropical fruit, support: 182
soda, tropical fruit, support: 205
root vegetables, tropical fruit, support: 207
tropical fruit, rolls/buns, support: 242
tropical fruit, yogurt, support: 288
other vegetables, tropical fruit, support: 353
whole milk, tropical fruit, support: 416
soda, root vegetables, support: 183
root vegetables, rolls/buns, support: 239
root vegetables, yogurt, support: 254
other vegetables, root vegetables, support: 466
root vegetables, whole milk, support: 481
bottled water, yogurt, support: 226
bottled water, rolls/buns, support: 238
other vegetables, bottled water, support: 244
soda, bottled water, support: 285
whole milk, bottled water, support: 338
soda, yogurt, support: 269
rolls/buns, yogurt, support: 338
other vegetables, yogurt, support: 427
whole milk, yogurt, support: 551
other vegetables, soda, support: 322
soda, rolls/buns, support: 377
soda, whole milk, support: 394
other vegetables, rolls/buns, support: 419
whole milk, rolls/buns, support: 557
other vegetables, whole milk, support: 736

Including 4 3-item frequent set
other vegetables, whole milk, tropical fruit, support: 168
other vegetables, root vegetables, whole milk, support: 228
other vegetables, whole milk, yogurt, support: 219
other vegetables, whole milk, rolls/buns, support: 176

